"","id","avr_age","avr_household_size","avr_education_level","avr_num_cars","avr_health","rented_percent","unemployment_percent","internet_percent","single_percent","married_percent","separated_percent","divorced_percent","widow_percent"
"16391","268006028",26.7621359223301,2.35955056179775,6.4251968503937,1.13483146067416,4.60098522167488,56.8181818181818,13.2530120481928,86.046511627907,72.8155339805825,23.7864077669903,1.45631067961165,1.94174757281553,0
"17203","268070014",31.6488294314381,3.20833333333333,5.85393258426966,1.60416666666667,4.66666666666667,21.0526315789474,4.25531914893617,95.7894736842105,56.5217391304348,39.1304347826087,1.33779264214047,1.67224080267559,1.33779264214047
"18452","268160005",39.5463917525773,2.83333333333333,4.95419847328244,1.47222222222222,4.55670103092783,12.5,4.63576158940397,81.6901408450704,48.4536082474227,42.7835051546392,2.57731958762887,1.03092783505155,5.15463917525773
"16398","268006035",25.215859030837,2.21359223300971,6.04878048780488,1.05825242718447,4.61751152073733,74.7474747474748,14.0625,87.5,68.2819383259912,27.7533039647577,2.20264317180617,1.76211453744493,0
"17200","268070011",39.2879377431907,2.49019607843137,3.84816753926702,0.92156862745098,4.56809338521401,14.7058823529412,10.1522842639594,73.5294117647059,57.1984435797665,31.5175097276265,2.33463035019455,4.28015564202335,4.66926070038911
"17199","268070010",36.5833333333333,2.54545454545455,4.88050314465409,1.07954545454545,4.56140350877193,11.3636363636364,8.04597701149425,81.8181818181818,56.578947368421,36.8421052631579,0.43859649122807,0.87719298245614,5.26315789473684
"17074","268060005",45.9694323144105,2.13513513513514,5.15730337078652,1.12612612612613,4.56140350877193,21.8181818181818,1.97044334975369,71.5596330275229,54.1484716157205,36.2445414847162,1.74672489082969,1.31004366812227,6.55021834061135
"18450","268160003",29.3756097560976,2.00970873786408,6.86813186813187,1.15533980582524,4.71782178217822,62.1359223300971,5.18134715025907,91.0891089108911,71.219512195122,27.3170731707317,0.975609756097561,0.48780487804878,0
"14356","267040059",27.4813278008299,2.38834951456311,6.5126582278481,1.29126213592233,4.62447257383966,67.9611650485437,11.734693877551,92.0792079207921,59.3360995850622,31.9502074688797,2.4896265560166,5.80912863070539,0.4149377593361
"17190","268070001",37.2118055555556,3.34117647058824,5.62569832402235,1.74117647058824,4.67021276595745,5.88235294117647,3.46320346320346,86.7469879518072,51.0416666666667,45.1388888888889,0.694444444444444,0.347222222222222,2.77777777777778
"14363","267041002",44.3666666666667,2.80882352941176,5.79230769230769,1.73529411764706,4.57954545454545,11.7647058823529,7.59493670886076,86.5671641791045,40.5555555555556,53.3333333333333,2.22222222222222,0.555555555555556,3.33333333333333
"16902","268046005",35.9225092250922,3.01136363636364,4.56969696969697,1.40909090909091,4.57089552238806,6.89655172413793,8.33333333333333,84.0909090909091,53.8745387453875,39.4833948339483,1.8450184501845,2.2140221402214,2.5830258302583
"16403","268006040",29.3733333333333,2.02,6.65,1.07333333333333,4.62244897959184,25.1700680272109,7.00389105058366,90.4109589041096,73,22.6666666666667,1.33333333333333,2,1
